"sep=,"
Data do vôo,Avião,Capacidade,Modelo,Compania,Aeroporto,Cidade,Estado,Região,Preço 1d,Preço 15d,Preço 30d,Horário de saída,Horário de chegada,Duração em minutos,Conexões,Distância,Yield Pax
2022-07-15,LA 3707,174,320,LATAM AIRLINES BRASIL,BPS,Porto Seguro,Piauí,Nordeste,0.0,0.0,793.13,18:20:00,08:00:00,820,2,1903,0.42
2022-07-15,LA 3369,198,321,LATAM AIRLINES BRASIL,MCZ,Maceió,Alagoas,Nordeste,0.0,0.0,805.65,10:50:00,18:00:00,430,1,2663,0.30
2022-07-15,LA 3369,198,321,LATAM AIRLINES BRASIL,MCZ,Maceió,Alagoas,Nordeste,0.0,0.0,1153.38,10:50:00,19:10:00,500,1,2663,0.43
2022-07-15,LA 3125,144,319,LATAM AIRLINES BRASIL,MCZ,Maceió,Alagoas,Nordeste,0.0,0.0,1113.45,12:50:00,19:10:00,380,1,2663,0.42
2022-07-15,LA 3125,144,319,LATAM AIRLINES BRASIL,MCZ,Maceió,Alagoas,Nordeste,0.0,0.0,903.51,12:50:00,23:20:00,630,1,2663,0.34
2022-07-15,LA 3969,198,321,LATAM AIRLINES BRASIL,MCZ,Maceió,Alagoas,Nordeste,0.0,0.0,805.65,17:55:00,23:20:00,325,1,2663,0.30
2022-07-15,LA 3881,174,320,LATAM AIRLINES BRASIL,MCZ,Maceió,Alagoas,Nordeste,0.0,0.0,805.65,12:10:00,23:20:00,670,2,2663,0.30
2022-07-15,LA 3755,174,320,LATAM AIRLINES BRASIL,MCZ,Maceió,Alagoas,Nordeste,0.0,0.0,863.25,17:30:00,08:00:00,870,2,2663,0.32
2022-07-15,LA 3757,198,321,LATAM AIRLINES BRASIL,MCZ,Maceió,Alagoas,Nordeste,0.0,0.0,863.25,22:20:00,10:05:00,705,2,2663,0.32
2022-07-15,LA 3757,198,321,LATAM AIRLINES BRASIL,MCZ,Maceió,Alagoas,Nordeste,0.0,0.0,863.25,22:20:00,10:05:00,705,2,2663,0.32
2022-07-15,LA 3763,174,320,LATAM AIRLINES BRASIL,PMW,Palmas,Tocantins,Norte,0.0,0.0,957.87,05:55:00,10:50:00,295,1,1835,0.52
2022-07-15,LA 3655,174,320,LATAM AIRLINES BRASIL,PMW,Palmas,Tocantins,Norte,0.0,0.0,957.87,17:55:00,23:20:00,325,1,1835,0.52
2022-07-15,LA 3763,174,320,LATAM AIRLINES BRASIL,PMW,Palmas,Tocantins,Norte,0.0,0.0,957.87,05:55:00,15:15:00,560,2,1835,0.52
2022-07-15,LA 3763,174,320,LATAM AIRLINES BRASIL,PMW,Palmas,Tocantins,Norte,0.0,0.0,997.67,05:55:00,15:15:00,560,2,1835,0.54
2022-07-15,LA 3763,174,320,LATAM AIRLINES BRASIL,PMW,Palmas,Tocantins,Norte,0.0,0.0,957.87,05:55:00,18:00:00,725,2,1835,0.52
2022-07-15,LA 3763,174,320,LATAM AIRLINES BRASIL,PMW,Palmas,Tocantins,Norte,0.0,0.0,957.87,05:55:00,18:00:00,725,2,1835,0.52
2022-07-15,LA 3763,174,320,LATAM AIRLINES BRASIL,PMW,Palmas,Tocantins,Norte,0.0,0.0,957.87,05:55:00,18:00:00,725,2,1835,0.52
2022-07-15,LA 3763,174,320,LATAM AIRLINES BRASIL,PMW,Palmas,Tocantins,Norte,0.0,0.0,998.13,05:55:00,18:00:00,725,2,1835,0.54
2022-07-15,LA 3191,198,321,LATAM AIRLINES BRASIL,SLZ,São Luís,Maranhão,Nordeste,0.0,0.0,975.52,12:10:00,18:00:00,350,1,2790,0.35
2022-07-15,LA 3191,198,321,LATAM AIRLINES BRASIL,SLZ,São Luís,Maranhão,Nordeste,0.0,0.0,975.52,12:10:00,23:20:00,670,1,2790,0.35
2022-07-15,LA 3193,198,321,LATAM AIRLINES BRASIL,SLZ,São Luís,Maranhão,Nordeste,0.0,0.0,975.52,16:35:00,23:20:00,405,1,2790,0.35
2022-07-15,LA 3485,198,321,LATAM AIRLINES BRASIL,SLZ,São Luís,Maranhão,Nordeste,0.0,0.0,975.52,02:40:00,15:15:00,755,2,2790,0.35
2022-07-15,LA 3485,198,321,LATAM AIRLINES BRASIL,SLZ,São Luís,Maranhão,Nordeste,0.0,0.0,1039.62,02:40:00,15:15:00,755,2,2790,0.37
2022-07-15,LA 3873,198,321,LATAM AIRLINES BRASIL,SLZ,São Luís,Maranhão,Nordeste,0.0,0.0,975.52,12:05:00,23:20:00,675,2,2790,0.35
2022-07-15,LA 3795,198,321,LATAM AIRLINES BRASIL,SLZ,São Luís,Maranhão,Nordeste,0.0,0.0,975.52,16:25:00,08:00:00,935,2,2790,0.35
2022-07-15,LA 3771,174,320,LATAM AIRLINES BRASIL,PVH,Porto Velho,Rondônia,Norte,0.0,0.0,1499.27,03:20:00,10:50:00,390,1,2113,0.71
2022-07-15,LA 3473,174,320,LATAM AIRLINES BRASIL,PVH,Porto Velho,Rondônia,Norte,0.0,0.0,1371.47,15:50:00,23:20:00,390,1,2113,0.65
2022-07-15,LA 3771,174,320,LATAM AIRLINES BRASIL,PVH,Porto Velho,Rondônia,Norte,0.0,0.0,1499.27,03:20:00,15:15:00,655,2,2113,0.71
2022-07-15,LA 3771,174,320,LATAM AIRLINES BRASIL,PVH,Porto Velho,Rondônia,Norte,0.0,0.0,1539.07,03:20:00,15:15:00,655,2,2113,0.73
2022-07-15,LA 3771,174,320,LATAM AIRLINES BRASIL,PVH,Porto Velho,Rondônia,Norte,0.0,0.0,1499.27,03:20:00,18:00:00,820,2,2113,0.71
2022-07-15,LA 3771,174,320,LATAM AIRLINES BRASIL,PVH,Porto Velho,Rondônia,Norte,0.0,0.0,1499.27,03:20:00,18:00:00,820,2,2113,0.71
2022-07-15,LA 3771,174,320,LATAM AIRLINES BRASIL,PVH,Porto Velho,Rondônia,Norte,0.0,0.0,1499.27,03:20:00,18:00:00,820,2,2113,0.71
2022-07-15,LA 3771,174,320,LATAM AIRLINES BRASIL,PVH,Porto Velho,Rondônia,Norte,0.0,0.0,1539.53,03:20:00,18:00:00,820,2,2113,0.73
2022-07-15,LA 3773,174,320,LATAM AIRLINES BRASIL,RBR,Rio Branco,Acre,Norte,0.0,0.0,965.57,01:35:00,10:50:00,435,1,2226,0.43
2022-07-15,LA 3679,174,320,LATAM AIRLINES BRASIL,RBR,Rio Branco,Acre,Norte,0.0,0.0,854.87,10:55:00,23:20:00,625,1,2226,0.38
2022-07-15,LA 3773,174,320,LATAM AIRLINES BRASIL,RBR,Rio Branco,Acre,Norte,0.0,0.0,965.57,01:35:00,15:15:00,700,2,2226,0.43
2022-07-15,LA 3773,174,320,LATAM AIRLINES BRASIL,RBR,Rio Branco,Acre,Norte,0.0,0.0,1005.37,01:35:00,15:15:00,700,2,2226,0.45
2022-07-15,LA 3773,174,320,LATAM AIRLINES BRASIL,RBR,Rio Branco,Acre,Norte,0.0,0.0,965.57,01:35:00,18:00:00,865,2,2226,0.43
2022-07-15,LA 3773,174,320,LATAM AIRLINES BRASIL,RBR,Rio Branco,Acre,Norte,0.0,0.0,965.57,01:35:00,18:00:00,865,2,2226,0.43
2022-07-15,LA 3773,174,320,LATAM AIRLINES BRASIL,RBR,Rio Branco,Acre,Norte,0.0,0.0,965.57,01:35:00,18:00:00,865,2,2226,0.43
2022-07-15,LA 3773,174,320,LATAM AIRLINES BRASIL,RBR,Rio Branco,Acre,Norte,0.0,0.0,1005.83,01:35:00,18:00:00,865,2,2226,0.45
2022-07-15,LA 3517,144,319,LATAM AIRLINES BRASIL,CXJ,Caxias Do Sul,Maranhão,Nordeste,0.0,0.0,779.83,10:10:00,18:00:00,470,1,525,1.49
2022-07-15,LA 3517,144,319,LATAM AIRLINES BRASIL,CXJ,Caxias Do Sul,Maranhão,Nordeste,0.0,0.0,883.66,10:10:00,19:10:00,540,1,525,1.68
